label;group;place;rich_club;region_name;hemisphere;group_old
2007;rightTemporal;7;non-RichClub;ctx-rh-fusiform;right;Temporal
2008;rightParietal;7;non-RichClub;ctx-rh-inferiorparietal;right;Parietal
2009;rightTemporal;7;non-RichClub;ctx-rh-inferiortemporal;right;Temporal
2010;rightOccipital;6;non-RichClub;ctx-rh-isthmuscingulate;right;Occipital
2011;rightOccipital;7;non-RichClub;ctx-rh-lateraloccipital;right;Occipital
2012;rightFrontal;10;non-RichClub;ctx-rh-lateralorbitofrontal;right;Frontal
2013;rightOccipital;8;non-RichClub;ctx-rh-lingual;right;Occipital
2014;rightFrontal;15;non-RichClub;ctx-rh-medialorbitofrontal;right;Frontal
2015;rightTemporal;7;non-RichClub;ctx-rh-middletemporal;right;Temporal
2016;rightTemporal;12;non-RichClub;ctx-rh-parahippocampal;right;Temporal
2017;rightFrontal;5;non-RichClub;ctx-rh-paracentral;right;Frontal
2018;rightFrontal;12;non-RichClub;ctx-rh-parsopercularis;right;Frontal
2019;rightFrontal;10;non-RichClub;ctx-rh-parsorbitalis;right;Frontal
2020;rightFrontal;10;non-RichClub;ctx-rh-parstriangularis;right;Frontal
2021;rightOccipital;8;non-RichClub;ctx-rh-pericalcarine;right;Occipital
2022;rightParietal;12;non-RichClub;ctx-rh-postcentral;right;Parietal
2023;rightParietal;5;non-RichClub;ctx-rh-posteriorcingulate;right;Parietal
2024;rightFrontal;12;non-RichClub;ctx-rh-precentral;right;Frontal
2025;rightParietal;6;precuneus;ctx-rh-precuneus;right;Parietal
2026;rightFrontal;16;non-RichClub;ctx-rh-rostralanteriorcingulate;right;Frontal
2027;rightFrontal;16;non-RichClub;ctx-rh-rostralmiddlefrontal;right;Frontal
2028;rightFrontal;16;Superior frontal Cortex;ctx-rh-superiorfrontal;right;Frontal
2029;rightParietal;7;superiorParietal;ctx-rh-superiorparietal;right;Parietal
2030;rightTemporal;7;non-RichClub;ctx-rh-superiortemporal;right;Temporal
2031;rightParietal;7;non-RichClub;ctx-rh-supramarginal;right;Parietal
2032;rightFrontal;15;non-RichClub;ctx-rh-frontalpole;right;Frontal
2033;rightTemporal;9;non-RichClub;ctx-rh-temporalpole;right;Temporal
2034;rightTemporal;7;non-RichClub;ctx-rh-transversetemporal;right;Temporal
2035;rightSubcortical;10;non-RichClub;ctx-rh-insula;right;Subcortical
